id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
73,"Thanks for sharing this article, very helpful.",0,0,0,0,0,0
414,People like you don't belong in this country.,1,0,0,0,0,1
394,I despise that community and everyone in it.,1,0,0,0,0,1
277,You're a joke and everyone laughs at you.,0,0,1,0,1,0
399,Women like you shouldn't be allowed to work here.,1,0,0,0,0,1
172,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
268,"What an ugly, stupid thing to post.",0,0,1,0,1,0
375,People like you don't belong in this country.,1,0,0,0,0,1
77,Can someone explain how this feature works?,0,0,0,0,0,0
442,Your entire race is the problem with society.,1,0,0,0,0,1
9,"I really enjoyed this movie, great acting!",0,0,0,0,0,0
281,Only a complete moron would say something like that.,0,0,1,0,1,0
433,Your entire race is the problem with society.,1,0,0,0,0,1
298,You're a worthless piece of garbage.,0,0,1,0,1,0
30,The weather has been lovely this week.,0,0,0,0,0,0
93,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
55,"I really enjoyed this movie, great acting!",0,0,0,0,0,0
423,People of that faith are all dangerous criminals.,1,0,0,0,0,1
33,"This recipe turned out amazing, thank you!",0,0,0,0,0,0
203,You are an idiot if you believe that.,1,0,0,0,0,0
180,Your logic is trash and so is your attitude.,1,0,0,0,0,0
465,Immigrants like you are destroying this nation.,1,0,0,0,0,1
70,"Great presentation, learned a lot today.",0,0,0,0,0,0
261,Shut your stupid mouth before I make you.,0,0,1,0,1,0
104,"Great presentation, learned a lot today.",0,0,0,0,0,0
474,Your kind should not be allowed to speak in public.,1,0,0,0,0,1
358,"You are such a pathetic loser, get a life.",0,0,1,0,1,0
321,Shut your stupid mouth before I make you.,0,0,1,0,1,0
301,"Quit whining, you spineless coward.",0,0,1,0,1,0
0,"I really enjoyed this movie, great acting!",0,0,0,0,0,0
391,Your entire race is the problem with society.,1,0,0,0,0,1
11,The documentation could use a few more examples.,0,0,0,0,0,0
380,People like you don't belong in this country.,1,0,0,0,0,1
430,People like you don't belong in this country.,1,0,0,0,0,1
377,I despise that community and everyone in it.,1,0,0,0,0,1
117,"Thanks for sharing this article, very helpful.",0,0,0,0,0,0
302,"You are such a pathetic loser, get a life.",0,0,1,0,1,0
173,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
471,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
18,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
332,"I hope you fail at everything you do, jerk.",0,0,1,0,1,0
185,"Get lost, no one wants you here.",1,0,0,0,0,0
90,The weather has been lovely this week.,0,0,0,0,0,0
220,"Nobody asked for your opinion, shut up.",1,0,0,0,0,0
39,Looking forward to the meeting tomorrow.,0,0,0,0,0,0
323,You are trash and everyone knows it.,0,0,1,0,1,0
459,Your entire race is the problem with society.,1,0,0,0,0,1
76,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
155,You are an idiot if you believe that.,1,0,0,0,0,0
63,The documentation could use a few more examples.,0,0,0,0,0,0
