text,label,label_id
nobody wants you here just leave lol,toxic,1
looking forward to the meeting tomorrow seriously,neutral,0
violence against them is justified wow,hate_speech,2
your entire group is inferior and dangerous seriously,hate_speech,2
great work on the project presentation ugh,neutral,0
shut up you moron seriously,offensive,3
your entire group is inferior and dangerous,hate_speech,2
this is so stupid it hurts ugh,offensive,3
can you send me the report by friday seriously,neutral,0
can you send me the report by friday lol,neutral,0
you should be ashamed of yourself,toxic,1
this is so stupid it hurts wow,offensive,3
this is so stupid it hurts seriously,offensive,3
your entire group is inferior and dangerous,hate_speech,2
this is so stupid it hurts lol,offensive,3
this is so stupid it hurts wow,offensive,3
violence against them is justified wow,hate_speech,2
great work on the project presentation lol,neutral,0
your entire group is inferior and dangerous seriously,hate_speech,2
thanks for sharing this helpful article wow,neutral,0
you are completely useless and worthless lol,toxic,1
this is so stupid it hurts seriously,offensive,3
what an idiot cannot believe this nonsense ugh,offensive,3
shut up you moron lol,offensive,3
great work on the project presentation ugh,neutral,0
you are completely useless and worthless ugh,toxic,1
great work on the project presentation seriously,neutral,0
this is the worst garbage i have ever seen wow,toxic,1
the weather is nice today,neutral,0
what an idiot cannot believe this nonsense seriously,offensive,3
thanks for sharing this helpful article seriously,neutral,0
your entire group is inferior and dangerous lol,hate_speech,2
shut up you moron seriously,offensive,3
violence against them is justified,hate_speech,2
you are completely useless and worthless wow,toxic,1
can you send me the report by friday seriously,neutral,0
this is so stupid it hurts wow,offensive,3
nobody wants you here just leave,toxic,1
what an idiot cannot believe this nonsense lol,offensive,3
can you send me the report by friday lol,neutral,0
what an idiot cannot believe this nonsense ugh,offensive,3
you are completely useless and worthless ugh,toxic,1
people like you do not belong in this country,hate_speech,2
nobody wants you here just leave seriously,toxic,1
shut up you moron,offensive,3
you are completely useless and worthless seriously,toxic,1
people like you do not belong in this country seriously,hate_speech,2
this is the worst garbage i have ever seen ugh,toxic,1
this is so stupid it hurts,offensive,3
great work on the project presentation seriously,neutral,0
nobody wants you here just leave ugh,toxic,1
can you send me the report by friday ugh,neutral,0
your entire group is inferior and dangerous ugh,hate_speech,2
great work on the project presentation seriously,neutral,0
the weather is nice today,neutral,0
can you send me the report by friday,neutral,0
the weather is nice today,neutral,0
this is so stupid it hurts ugh,offensive,3
you are completely useless and worthless wow,toxic,1
people like you do not belong in this country ugh,hate_speech,2
violence against them is justified,hate_speech,2
the weather is nice today lol,neutral,0
great work on the project presentation,neutral,0
violence against them is justified wow,hate_speech,2
great work on the project presentation ugh,neutral,0
this is so stupid it hurts wow,offensive,3
thanks for sharing this helpful article ugh,neutral,0
you are completely useless and worthless wow,toxic,1
nobody wants you here just leave,toxic,1
can you send me the report by friday ugh,neutral,0
you are completely useless and worthless lol,toxic,1
the weather is nice today wow,neutral,0
shut up you moron lol,offensive,3
your entire group is inferior and dangerous ugh,hate_speech,2
what an idiot cannot believe this nonsense seriously,offensive,3
thanks for sharing this helpful article lol,neutral,0
great work on the project presentation wow,neutral,0
shut up you moron ugh,offensive,3
what an idiot cannot believe this nonsense ugh,offensive,3
violence against them is justified seriously,hate_speech,2
violence against them is justified lol,hate_speech,2
violence against them is justified seriously,hate_speech,2
can you send me the report by friday lol,neutral,0
you should be ashamed of yourself,toxic,1
you should be ashamed of yourself lol,toxic,1
the weather is nice today lol,neutral,0
this is the worst garbage i have ever seen,toxic,1
violence against them is justified,hate_speech,2
thanks for sharing this helpful article seriously,neutral,0
violence against them is justified wow,hate_speech,2
violence against them is justified,hate_speech,2
looking forward to the meeting tomorrow wow,neutral,0
people like you do not belong in this country wow,hate_speech,2
shut up you moron wow,offensive,3
shut up you moron ugh,offensive,3
this is so stupid it hurts,offensive,3
you should be ashamed of yourself lol,toxic,1
this is the worst garbage i have ever seen ugh,toxic,1
people like you do not belong in this country lol,hate_speech,2
you should be ashamed of yourself,toxic,1
thanks for sharing this helpful article ugh,neutral,0
what an idiot cannot believe this nonsense wow,offensive,3
nobody wants you here just leave wow,toxic,1
you are completely useless and worthless seriously,toxic,1
violence against them is justified,hate_speech,2
great work on the project presentation seriously,neutral,0
violence against them is justified wow,hate_speech,2
your entire group is inferior and dangerous ugh,hate_speech,2
violence against them is justified seriously,hate_speech,2
shut up you moron lol,offensive,3
you should be ashamed of yourself,toxic,1
shut up you moron ugh,offensive,3
thanks for sharing this helpful article ugh,neutral,0
you should be ashamed of yourself,toxic,1
violence against them is justified,hate_speech,2
thanks for sharing this helpful article,neutral,0
this is so stupid it hurts seriously,offensive,3
your entire group is inferior and dangerous lol,hate_speech,2
this is so stupid it hurts ugh,offensive,3
the weather is nice today ugh,neutral,0
violence against them is justified,hate_speech,2
your entire group is inferior and dangerous seriously,hate_speech,2
violence against them is justified,hate_speech,2
violence against them is justified wow,hate_speech,2
this is the worst garbage i have ever seen ugh,toxic,1
great work on the project presentation lol,neutral,0
nobody wants you here just leave,toxic,1
people like you do not belong in this country lol,hate_speech,2
shut up you moron,offensive,3
this is so stupid it hurts seriously,offensive,3
nobody wants you here just leave seriously,toxic,1
the weather is nice today seriously,neutral,0
you should be ashamed of yourself lol,toxic,1
you are completely useless and worthless lol,toxic,1
violence against them is justified,hate_speech,2
what an idiot cannot believe this nonsense seriously,offensive,3
violence against them is justified,hate_speech,2
the weather is nice today,neutral,0
nobody wants you here just leave seriously,toxic,1
people like you do not belong in this country seriously,hate_speech,2
what an idiot cannot believe this nonsense seriously,offensive,3
you are completely useless and worthless wow,toxic,1
people like you do not belong in this country ugh,hate_speech,2
you should be ashamed of yourself lol,toxic,1
you should be ashamed of yourself,toxic,1
people like you do not belong in this country ugh,hate_speech,2
you are completely useless and worthless wow,toxic,1
violence against them is justified ugh,hate_speech,2
violence against them is justified ugh,hate_speech,2
shut up you moron ugh,offensive,3
shut up you moron seriously,offensive,3
this is so stupid it hurts,offensive,3
this is so stupid it hurts wow,offensive,3
violence against them is justified wow,hate_speech,2
shut up you moron ugh,offensive,3
nobody wants you here just leave seriously,toxic,1
great work on the project presentation seriously,neutral,0
you are completely useless and worthless ugh,toxic,1
shut up you moron wow,offensive,3
you should be ashamed of yourself,toxic,1
nobody wants you here just leave lol,toxic,1
your entire group is inferior and dangerous lol,hate_speech,2
what an idiot cannot believe this nonsense wow,offensive,3
violence against them is justified wow,hate_speech,2
nobody wants you here just leave lol,toxic,1
what an idiot cannot believe this nonsense wow,offensive,3
this is so stupid it hurts ugh,offensive,3
great work on the project presentation,neutral,0
your entire group is inferior and dangerous,hate_speech,2
your entire group is inferior and dangerous seriously,hate_speech,2
you are completely useless and worthless seriously,toxic,1
what an idiot cannot believe this nonsense wow,offensive,3
violence against them is justified wow,hate_speech,2
can you send me the report by friday lol,neutral,0
you should be ashamed of yourself ugh,toxic,1
great work on the project presentation wow,neutral,0
people like you do not belong in this country lol,hate_speech,2
the weather is nice today seriously,neutral,0
people like you do not belong in this country lol,hate_speech,2
what an idiot cannot believe this nonsense ugh,offensive,3
this is the worst garbage i have ever seen lol,toxic,1
you should be ashamed of yourself ugh,toxic,1
shut up you moron ugh,offensive,3
you are completely useless and worthless,toxic,1
shut up you moron,offensive,3
looking forward to the meeting tomorrow ugh,neutral,0
can you send me the report by friday ugh,neutral,0
you are completely useless and worthless,toxic,1
the weather is nice today lol,neutral,0
violence against them is justified ugh,hate_speech,2
can you send me the report by friday seriously,neutral,0
can you send me the report by friday seriously,neutral,0
shut up you moron seriously,offensive,3
you should be ashamed of yourself ugh,toxic,1
can you send me the report by friday,neutral,0
thanks for sharing this helpful article wow,neutral,0
people like you do not belong in this country wow,hate_speech,2
what an idiot cannot believe this nonsense wow,offensive,3
you are completely useless and worthless wow,toxic,1
looking forward to the meeting tomorrow,neutral,0
people like you do not belong in this country lol,hate_speech,2
what an idiot cannot believe this nonsense,offensive,3
can you send me the report by friday wow,neutral,0
violence against them is justified ugh,hate_speech,2
shut up you moron seriously,offensive,3
shut up you moron ugh,offensive,3
can you send me the report by friday wow,neutral,0
shut up you moron,offensive,3
can you send me the report by friday lol,neutral,0
nobody wants you here just leave wow,toxic,1
what an idiot cannot believe this nonsense,offensive,3
this is the worst garbage i have ever seen lol,toxic,1
